subfolder,image_name,image_path,status,instrument_pixels,needle_pixels,area_ratio,corrected_area,,,,,,,,
7-16_tree119_5461_day0,20250720_125720.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-16_tree119_5461_day0\20250720_125720.jpg,success,820,3714,0.819144243,4.914865461,,,,,,,,
7-16_tree119_5461_day0,20250720_130014.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-16_tree119_5461_day0\20250720_130014.jpg,success,1025,5516,0.843296132,5.059776793,,,,,,,,
7-16_tree119_5461_day0,20250720_130358.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-16_tree119_5461_day0\20250720_130358.jpg,success,0,0,0,0,,,,,,,,
7-16_tree119_5461_day0,20250720_130406.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-16_tree119_5461_day0\20250720_130406.jpg,success,1010,5030,0.832781457,4.996688742,,,,,,,,
7-16_tree119_5461_day0,20250720_130656.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-16_tree119_5461_day0\20250720_130656.jpg,success,1091,5096,0.823662518,4.941975109,,,,,,,,
7-16_tree119_5461_day0,20250720_130934.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-16_tree119_5461_day0\20250720_130934.jpg,success,0,0,0,0,,,,,,,,
7-16_tree119_5461_day0,20250720_130948.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-16_tree119_5461_day0\20250720_130948.jpg,success,957,5374,0.848839046,5.093034276,,,,,,,,
7-16_tree119_5461_day0,20250720_131509.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-16_tree119_5461_day0\20250720_131509.jpg,success,746,3433,0.821488394,4.928930366,,,,,,,,
7-16_tree119_5461_day0,20250720_132646.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-16_tree119_5461_day0\20250720_132646.jpg,success,0,0,0,0,,,,,,,,
7-16_tree119_5461_day0,20250720_132653.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-16_tree119_5461_day0\20250720_132653.jpg,success,632,1615,0.718736093,4.312416555,,,,,,,,
7-16_tree119_5461_day0,20250720_133120.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-16_tree119_5461_day0\20250720_133120.jpg,success,804,5705,0.876478722,5.258872331,,,,,,,,
7-16_tree119_5461_day0,20250720_133725.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-16_tree119_5461_day0\20250720_133725.jpg,success,0,0,0,0,,,,,,,,
